DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,example_relid
,phrase,severe weather events,3-word phrase,35,46,76%,"It incorporates specialized modules for severe weather events and utility tools for visualization, analysis, and response actions based on IMD's early warnings",252409
,phrase,talent pipeline,2-word phrase,35,54,65%,"Based on the discussion, the following recommendations were made by the panellists for the dispersal of GCCs into emerging GCC cities: reducing compliance burden and ease of doing business, building a quality talent pool and talent pipeline",268136
,phrase,technology leaders,2-word phrase,35,50,70%,Dr Rajkumar Upadhyay appreciated the efforts of young engineers and technology leaders of C-DOT who have been relentlessly innovating to realise the Prime Minister’s vision of “Atmanirbhar Bharat”,254173
,phrase,technology sector,2-word phrase,35,53,66%,"eurship (CoE) - ""FinGlobe,"" dedicated to fostering innovation and growth in the financial technology sector, at STPI-Gandhinagar, GIFT City",254798
,phrase,thunderstorms,1-word phrase,35,51,69%,"These events include cyclonic storms, droughts, floods, lightning, thunderstorms, snowfall, cold waves, and heat waves",257890
,phrase,un security,2-word phrase,35,57,61%,"Russia appreciated India’s 2021-22 term as non-permanent member of the UN Security Council and India’s UNSC priorities and efforts towards reformed multilateralism, UN peacekeeping and counter-terrorism",256791
,phrase,un security council,3-word phrase,35,57,61%,"Russia appreciated India’s 2021-22 term as non-permanent member of the UN Security Council and India’s UNSC priorities and efforts towards reformed multilateralism, UN peacekeeping and counter-terrorism",256791
,phrase,biotechnology for economy,3-word phrase,34,52,65%,"Cabinet approves BioE3 (Biotechnology for Economy, Environment and Employment) Policy for Fostering High Performance Biomanufacturing The Union Cabinet, chaired by the Prime Minister Shri Narendra Modi, today approved the proposal ‘ BioE3 (",258978
,phrase,credit framework,2-word phrase,34,50,68%,"This year the participants will have the opportunity to earn credits, within the National Credit Framework",255662
,phrase,data assimilation,2-word phrase,34,43,79%,There will be improved data assimilation with increased ingestion of the observations,259641
,phrase,earth system,2-word phrase,34,52,65%,"The major Objectives of the overarching Prithvi Scheme are: · Augmentation and sustainance of long-term observations of the atmosphere, ocean, geosphere, cryosphere and solid earth to record the vital signs of the Earth System and change · ",252082
,phrase,education and skilling,3-word phrase,34,54,63%,India and Finland have ongoing collaboration in school and higher education and skilling,252897
,phrase,encryption,1-word phrase,34,55,62%,"Our ICT sector boasts world-class cyber security solutions ranging from encryption technologies to threat detection systems, he added",255712
,phrase,fingerprint,1-word phrase,34,53,64%,"National Automated Finger-Print Identification System (NAFIS) of National Crime Records Bureau (NCRB) has revolutionized the fingerprint recognition system in crime control, with this system, the work of tracing the involvement of interstat",252032
,phrase,industry and academic,3-word phrase,34,52,65%,"A pivotal objective is also to forge numerous partnerships with industry and academic institutes nationwide, ensuring that curricula align closely with industry demands and standards",253726
,phrase,learning modules,2-word phrase,34,55,62%,"यही आपके काम का भी पहला पैरामीटर होना चाहिए। आम लोगों का सरकारी व्यवस्था में भरोसा बढ़े, ये हम सबकी ज़िम्मेदारी है। इसके लिए हम जितना लोगों से कनेक्ट करेंगे, उतना हमारी कार्यशैली भी productive बनेगी। अपने-अपने डिपार्टमेंट में आपको फीडबैक mech",261410
,phrase,learning resources,2-word phrase,34,53,64%,"The Minister also released Special Modules aligned with NEP 2020, teaching-learning resources and subject-specific modules",253589
,phrase,nidhi scheme,2-word phrase,34,56,61%,"A significant milestone in this journey is the development of 'Kisan e-Mitra,' an AI-powered chatbot addressing farmers' queries about the PM Kisan Samman Nidhi scheme",252478
,phrase,nsqf aligned,2-word phrase,34,53,64%,0 scheme provides NSQF aligned skill development training through Short-Term Training (STT) including Special Projects (SP) and reskilling and upskilling through Recognition of Prior Learning (RPL) with its target beneficiary being 15-59 ye,267187
,phrase,platform offers,2-word phrase,34,49,69%,"Platform offers a blog for pre-registered participants to connect, share insights, and engage in meaningful discussions",253772
,phrase,prepaid,1-word phrase,34,52,65%,Prepaid Smart metering is the critical intervention envisaged under RDSS with an estimated outlay of ~Rs,251977
,phrase,suspect,1-word phrase,34,54,63%,"FACILITIES FOR PwD VOTERS, 85+ SENIOR CITIZENS, ELECTORS EMPLOYED IN ESSENTIAL SERVICES AND COVID SUSPECT/AFFECTED VOTERS: Rule 27A of the Conduct of Elections Rules, 1961 has been amended to provide the optional postal ballot facility to “",255032
,phrase,technology digital,2-word phrase,34,53,64%,"Palai, Member of the Technology Digital Communications Commission of the DOT; Sh",284447
,phrase,technology domains,2-word phrase,34,52,65%,"They also reviewed existing cooperation in the fields of defence and security, maritime domain awareness, education, AI, Fintech, new technology domains, science and technology and knowledge partnership",259340
,phrase,automatic weather stations,3-word phrase,33,55,60%,"•Improve understanding of weather and climate processes and prediction capabilities •Develop improved earth system models, and data-driven methods (use of AI/ML) •Develop Technologies for weather management •Develop state-of-art disseminati",259641
,phrase,based access,2-word phrase,33,48,69%,The software ensures data security through role-based access,255379
,phrase,councils sscs,2-word phrase,33,44,75%,,
,phrase,country the sim,3-word phrase,33,50,66%,,
,phrase,democratise,1-word phrase,33,40,82%,"Stressing on the imperative of high-speed solutions complemented by cutting-edge technologies like AI and edge processing, the Secretary highlighted the Department of Telecom's unwavering commitment to democratise opportunities and extend d",255020
,phrase,ensuring equitable access,3-word phrase,33,47,70%,"The launch of these initiatives underscores the Government's unwavering commitment to promoting technological advancement, fostering innovation, and ensuring equitable access to telecommunications services for all citizens",254810
,phrase,february at bharat,3-word phrase,33,44,75%,They will present their solutions at the Summit’s Grand Finale and Awards Felicitation Ceremony on 16th and 17th February at Bharat Mandapam and Sushma Swaraj Bhawan,284328
,phrase,led governance,2-word phrase,33,54,61%,"It is a key driver in realizing the Prime Minister’s vision of Viksit Bharat (Developed India) , paving the way for a future driven by geospatial intelligence and data-led governance",267929
,phrase,mittal secretary,2-word phrase,33,54,61%,,
,phrase,mobility partnership,2-word phrase,33,43,77%,"The two countries signed a Migration & Mobility Partnership Agreement in December 2022, under which discussions are ongoing for mobility of trained manpower from India",252897
,phrase,regional levels,2-word phrase,33,53,62%,"DGT has also signed MoU with IT Tech companies like IBM, CISCO, Future Skill Rights Network (erstwhile Quest Alliance), Amazon Web Services (AWS) and Microsoft to ensure industry linkages for the institutes at the state and regional levels ",257161
,phrase,skill councils sscs,3-word phrase,33,44,75%,,
,phrase,technological leadership,2-word phrase,33,54,61%,"It is a strategic investment in India's future, laying the groundwork for economic growth, job creation, and technological leadership in the quantum-driven world,” said Union Minister Dr",260560
,phrase,transcription,1-word phrase,33,46,72%,Artificial Intelligence and Machine learning tools are being used in case management hearing and for transcription of oral judgements in the Supreme Court of India,273393
,phrase,tvet,1-word phrase,33,46,72%,The National Council for Vocational Education and Training (NCVET) has been set up as an overarching regulator establishing regulations and standards to ensure quality in the Technical and Vocational Education and Training (TVET) space,257161
,phrase,upadhyay ceo,2-word phrase,33,51,65%,,
,phrase,application programming,2-word phrase,32,43,74%,The Bhashini open Application Programming Interface (APIs) for language translation in text and voice have been listed on API Setu ( ),257866
,phrase,ceo dot,2-word phrase,32,51,63%,,
,phrase,clinical decision,2-word phrase,32,41,78%,"Under this mission, the Clinical Decision Support System (CDSS) is being made available to healthcare professionals to facilitate the adoption of digital health practices",260433
,phrase,data sets,2-word phrase,32,45,71%,NITI Aayog’s National Data and Analytics Platform (NDAP) has been integrated to give access to government data sets; National E-Governance Division (NeGD) has extended support to develop the first-of-its-kind Viksit Bharat Strategy Room whi,254546
,phrase,dwr,1-word phrase,32,48,67%,"•Improve understanding of weather and climate processes and prediction capabilities •Develop improved earth system models, and data-driven methods (use of AI/ML) •Develop Technologies for weather management •Develop state-of-art disseminati",259641
,phrase,explore how,2-word phrase,32,49,65%,Global regulators will explore how to enhance cooperation to streamline processes across countries,261076
,phrase,future of work,3-word phrase,32,50,64%,"Acknowledge the emerging risks and challenges posed by AI systems, particularly advanced AI systems, including those related to safety and security and potential malicious uses; mis and disinformation; harmful biases leading to discriminati",256642
,phrase,health data,2-word phrase,32,48,67%,"Improved Data Access: The platform will address the fragmentation of health data in our country, making it easier for researchers to access and analyze health data without data leaving the custody of data fiduciaries",259544
,phrase,iis,1-word phrase,32,41,78%,He will also inaugurate Indian Institute of Skills (IIS) - a pioneer skill training institute on advanced technologies in Kanpur,253872
,phrase,india’s linguistic,2-word phrase,32,48,67%,Inaugurating the 52nd edition of the New Delhi World Book Fair Shri Pradhan highlighted that this year's theme of the fair ‘Multilingual India: A Living Tradition’ is celebrating India’s linguistic diversity and global literary traditions,253589
,phrase,intelligence platform,2-word phrase,32,44,73%,Surakshit On-boarding State/UT Police on Digital Intelligence Platform DoThas developed an online secure Digital Intelligence Platform (DIP) under Digital Intelligence Unit (DIU) Project for sharing information related to misuse of telecom ,260185
,phrase,mission ism,2-word phrase,32,51,63%,,
,phrase,ncrf,1-word phrase,32,44,73%,The Automated Permanent Academic Account Registry (APAAR) is a transformative initiative introduced in alignment with the National Education Policy (NEP) of 2020 and the National Credit and Qualifications Framework (NCrF),253702
,phrase,neeraj mittal secretary,3-word phrase,32,50,64%,,
,phrase,predicting,1-word phrase,32,53,60%,"The major Objectives of the overarching Prithvi Scheme are: · Augmentation and sustainance of long-term observations of the atmosphere, ocean, geosphere, cryosphere and solid earth to record the vital signs of the Earth System and change · ",252082
,phrase,provide early,2-word phrase,32,53,60%,"These algorithms, leveraging integrated geotechnical data, will forecast potential risks and provide early warning systems specifically tailored for tunnelling projects",255223
,phrase,range weather forecasting,3-word phrase,32,44,73%,"India Meteorological Department (IMD), National Centre for Medium Range Weather Forecasting (NCMRWF), Centre for Marine Living Resources and Ecology (CMLRE), National Centre for Coastal Research (NCCR), National Centre for Seismology (NCS),",252082
,phrase,semiconductor mission ism,3-word phrase,32,51,63%,,
,phrase,senior policymakers,2-word phrase,32,50,64%,"The inaugural function promises to set an inspiring tone for the event, uniting senior policymakers, foreign dignitaries, industry leaders, and academia",259875
,phrase,shape india’s,2-word phrase,32,51,63%,IISF-2024 will fuel discussions that will shape India’s future as a global leader in science and technology,260771
,phrase,supercomputing mission,2-word phrase,32,41,78%,"Maini also noted SETS's involvement in cutting-edge projects, including AI for cybersecurity under the National Supercomputing Mission",256442
,phrase,technical and vocational,3-word phrase,32,46,70%,The National Council for Vocational Education and Training (NCVET) has been set up as an overarching regulator establishing regulations and standards to ensure quality in the Technical and Vocational Education and Training (TVET) space,257161
,phrase,technology companies,2-word phrase,32,48,67%,"Shri Rajeev Chandrasekhar said, “So over the last ten years, India’s journey has transformed from being a consumer of technologies and a provider of talent for large technology companies worldwide to becoming a country where talent is certa",253079
,phrase,technology landscape,2-word phrase,32,44,73%,It also marks the country’s growing importance in the global technology landscape,256691
,phrase,accelerating innovation,2-word phrase,31,43,72%,An important part of the Day-3 of the event was Water Leaders’ Forum in which seven sessions covering themes on partnerships on accelerating innovation in water sector; integrated flood management; partnership and cooperation for integrated,260017
,phrase,congress imc,2-word phrase,31,40,78%,,
,phrase,curation,1-word phrase,31,51,61%,"‘FutureSkills PRIME’ for Re-skilling/Up-skilling of IT Manpower AI may result in automating some routine jobs but will also result in job creation in various data science, data curation, etc",257369
,phrase,data access,2-word phrase,31,46,67%,"Improved Data Access: The platform will address the fragmentation of health data in our country, making it easier for researchers to access and analyze health data without data leaving the custody of data fiduciaries",259544
,phrase,data centers,2-word phrase,31,43,72%,It is also in the field of establishing data centers,252066
,phrase,distinguished fellow,2-word phrase,31,47,66%,"The General officer was conferred ‘Distinguished Fellow’ in the coveted NDC equivalent course at USAWC, Carlisle, USA",253882
,phrase,driven future,2-word phrase,31,41,76%,"This nationwide deployment will help in enabling access to future skills, ensuring that young minds in every region have the opportunity to lead in the AI-driven future",258603
,phrase,global models,2-word phrase,31,40,78%,"Peter, we have the potential to enhance diabetes care in India by learning from successful global models and adapting them to our needs,” Dr",262287
,phrase,iii cities,2-word phrase,31,51,61%,"SKILL INDIA CENTRES IN TIER-III CITIES Under the Government of India’s Skill India Mission (SIM), the Ministry of Skill Development and Entrepreneurship (MSDE) delivers skill, re-skill and up- skill training through an extensive network of ",257168
,phrase,institute of electronics,3-word phrase,31,45,69%,"n Thursday Ministry of Electronics and Information Technology (MeitY), through National Institute of Electronics and IT (NIELIT) is hosting the first-ever Future Skills Summit in Guwahati on February 15, 2024",253726
,phrase,interoperable digital,2-word phrase,31,48,65%,"dia Energy Stack (IES) , a pioneering initiative aimed at creating a unified, secure, and interoperable digital infrastructure for India's energy sector",272340
,phrase,launchpad,1-word phrase,31,51,61%,Let me advert to the launchpad that all of you are presently standing on – and this is a very significant launchpad in the history of this great nation that has a civilisational depth of 5000 years,253925
,phrase,mobile congress imc,3-word phrase,31,40,78%,,
,phrase,ncmrwf,1-word phrase,31,45,69%,"India Meteorological Department (IMD), National Centre for Medium Range Weather Forecasting (NCMRWF), Centre for Marine Living Resources and Ecology (CMLRE), National Centre for Coastal Research (NCCR), National Centre for Seismology (NCS),",252082
,phrase,next wave,2-word phrase,31,48,65%,"India’s tech & innovation ecosystem is expanding and growing while catalyzing the next wave of startups in AI to Semiconductors, Electronics System Design & Innovation starting at Digital India futureLABS",253079
,phrase,rajkumar upadhyay ceo,3-word phrase,31,48,65%,,
,phrase,ready digital,2-word phrase,31,43,72%,"He also emphasized the importance of innovation, agility and security in digital governance , leveraging AI-driven tools and robust security measures to build a seamless, trustworthy and future-ready digital ecosystem, contributing to India",267708
,phrase,responsible and inclusive,3-word phrase,31,41,76%,This mission drives responsible and inclusive growth of India's AI ecosystem through the following seven pillars which will be t he key focus of Global IndiaAI Summit,256570
,phrase,schemes of msde,3-word phrase,31,48,65%,"Following specific steps have been taken to align the training programs to market needs and improve the employability of trainees: The training programmes offered under the schemes of MSDE are developed in collaboration with industries, kee",257161
,phrase,software development,2-word phrase,31,41,76%,"0; Providing consultancy (in areas such as IOT Hardware, Software development, data analytics) and incubation support to start- ups including MSMEs",253200
,phrase,technology parks,2-word phrase,31,48,65%,"To significantly boost the electronics, IT sector, and startup ecosystem in Kerala, the Union Minister of State for Electronics & IT, Skill Development & Entrepreneurship, and Jal Shakti Shri Rajeev Chandrasekhar also inaugurated the new So",254574
,phrase,training tvet,2-word phrase,31,40,78%,,
,phrase,up which,2-word phrase,31,47,66%,Dr Jitendra Singh described the novel initiative as a healthcare start-up which should be promoted at a mass scale,258543
,phrase,world impact,2-word phrase,31,42,74%,Mohindroo said that the journey of the winners is just beginning and he looks forward to seeing their solutions make a real-world impact,270013
,phrase,age technologies,2-word phrase,30,43,70%,"With the addition of this new campus, the NACIN will focus on the use of new age technologies such as Augmented & Virtual Reality, Block-chain as well as Artificial Intelligence and other emerging Technologies for training and capacity buil",252367
,phrase,agriculture education,2-word phrase,30,45,67%,,
,phrase,augmented reality,2-word phrase,30,50,60%,"Friends, Internet of Things, Machine Learning, Block Chain, Augmented Reality, Artificial Intelligence and Quantum Computing these are your subjects not mine",253925
,phrase,data into,2-word phrase,30,43,70%,"In addition, the second session featured illuminating discussions from Nokia Labs on creating Digital Twins, Airshed on infusing environmental data, Airtel India to infuse Telecom mobility data into digital twins",254745
,phrase,employability skills,2-word phrase,30,46,65%,Courses aligned to National Skills Qualification Framework (NSQF) also have components of On Job Training (OJT) and employability skills,257161
,phrase,enhancing digital,2-word phrase,30,46,65%,"Throughout the day, participants delved into diverse themes, exploring the integration of real-time data, enhancing digital precision with Building Information Modeling (BIM), and driving innovation in urban planning and management",254536
,phrase,financing models,2-word phrase,30,46,65%,It also set the stage for further discussions on innovative financing models and regulatory frameworks that support green shipping and port development,260710
,phrase,future ready digital,3-word phrase,30,41,73%,"The last 11 years have been marked not just by the accelerated expansion of traditional infrastructure, such as highways, railways, ports, and energy systems, but also by the expansion of future ready digital public infrastructure (DPI), da",282922
,phrase,gccs,1-word phrase,30,47,64%,"Global Capability Centres (GCCs) in India have grown significantly, from over 1,000 centres in FY15 to more than 1,580 centres by FY23",257157
,phrase,geospatial data,2-word phrase,30,49,61%,Krishi Decision Support System Geospatial data Drought/flood monitoring Weather/satellite data Groundwater/water availability data Modelling for crop yield and insurance The Mission has provision for Soil profile Digital crop estimation Dig,259210
,phrase,governance ecosystem,2-word phrase,30,47,64%,"com/Ra4paONpWC — Vice President of India (@VPIndia) February 15, 2024 Lauding recent reforms in the governance ecosystem, Shri Dhankhar highlighted that power corridors have now been fully sanitized of corrupt elements, and a transparent, a",253768
,phrase,imec,1-word phrase,30,45,67%,The two leaders recalled the launch of the India-Middle East-Europe Corridor (IMEC) on the margins of the G20 summit in Delhi in September 2023,256826
,phrase,initiative for developing,3-word phrase,30,48,62%,National Initiative for Developing and Harnessing Innovations (NIDHI): Department of Science and Technology (DST) had launched an umbrella programme called National Initiative for Developing and Harnessing Innovations (NIDHI) in 2016 for nu,257538
,phrase,innovation rdi scheme,3-word phrase,30,43,70%,,
,phrase,meri panchayat app,3-word phrase,30,49,61%,"The weather forecasting data will be accessible through digital platforms such as Meri Panchayat app, eGramSwaraj, and Gram Manchitra, which play a crucial role in streamlining governance and fostering transparency at the grassroots level",261580
,phrase,ncrp,1-word phrase,30,49,61%,"A citizen-centric National Cybercrime Reporting Portal (NCRP) was launched in 2019, which is one of the most significant achievements of I4C",252032
,phrase,panchayat app,2-word phrase,30,50,60%,"The weather forecasting data will be accessible through digital platforms such as Meri Panchayat app, eGramSwaraj, and Gram Manchitra, which play a crucial role in streamlining governance and fostering transparency at the grassroots level",261580
,phrase,poc,1-word phrase,30,48,62%,Sangam: Digital Twin is a PoC distributed in two stages to be conducted in one of the major cities of India,253772
,phrase,real world impact,3-word phrase,30,40,75%,,
,phrase,real world problems,3-word phrase,30,40,75%,"Sitharam, Chairman, All India Council for Technical Education (AICTE), addressed the occasion with his kind words and appreciated the work done during the tomato grand challenge and stated that it addresses the real world problems",264486
,phrase,science iisc bengaluru,3-word phrase,30,45,67%,,
,phrase,seamless data,2-word phrase,30,41,73%,"The third session had an array of eminent speakers from Cloudworx, India Urban Data Exchange, Nvidia and Lepton highlighting diverse digital twin use cases, seamless data integration, Omniverse and Lepton showcased geospatial technology",254745
,phrase,spoke itis,2-word phrase,30,44,68%,"A hub ITI will on an average have 4 spoke ITIs with all upgraded ITIs equipped with state-of-the-art infrastructure, machinery and equipment",274241
,phrase,sustainable cities,2-word phrase,30,42,71%,"The course includes Changing Paradigm of Governance, Public Policy and Implementation, Ethics in Administration, and Leveraging Technology in Disaster Management in Disaster Management, Climate Change and its impact on bio-diversity, Perfor",252207
,phrase,th national conference,3-word phrase,30,50,60%,"Jitendra Singh, Hon’ble MoS (PP) at the 27 th National Conference on e-Governance at Mumbai on 3 rd September, 2024",258961
,phrase,tier iii cities,3-word phrase,30,49,61%,These initiatives are designed to extend our support to innovators largely from Tier II & Tier III cities and provide targeted assistance to Start-ups at critical stages of growth,259400
,phrase,upadhyay ceo dot,3-word phrase,30,45,67%,,
,phrase,use of data,3-word phrase,30,43,70%,"Besides, the Government has endeavoured to curtail evasion of tax through measures such as sequential filing of GST returns, system generated intimation for reconciliation of the gap in tax liability in GSTR-1 & GSTR- 3B returns and of the ",252145
,phrase,world problems,2-word phrase,30,40,75%,"Each event featured insightful keynote addresses by esteemed speakers, who highlighted the significance of harnessing data to solve real-world problems",256894
,phrase,advancing digital,2-word phrase,29,43,67%,"TEC, DoT & ICAR to host ITU/FAO Workshop on “Cultivating tomorrow: Advancing digital agriculture through IoT and AI“ International Telecommunication Union (ITU) is organizing a Workshop on “Cultivating tomorrow: Advancing digital agricultur",255044
,phrase,ayush grid,2-word phrase,29,41,71%,"Vaidya Kotecha elaborated on the vision of Ayush Grid as a comprehensive IT backbone for India's traditional medicine sector, in line with the principles of Ayushman Bharat",259681
,phrase,brought together leading,3-word phrase,29,48,60%,"Continuing the momentum of AAHAR 2025, Ministry of Food Processing Industries (MoFPI) and NIFTEM-Kundli organized a series of impactful technical sessions that brought together leading voices from government, academia, start-ups and industr",268399
,phrase,consent based,2-word phrase,29,45,64%,"Partnership for building AI and research-based solutions for global challenges in health ● Consent based data sharing: Building on ongoing collaborations such as the pilot project involving India's ICMR and France’s Health Data Hub (HDH), t",290018
,phrase,developing and harnessing,3-word phrase,29,46,63%,National Initiative for Developing and Harnessing Innovations (NIDHI): Department of Science and Technology (DST) had launched an umbrella programme called National Initiative for Developing and Harnessing Innovations (NIDHI) in 2016 for nu,257538
,phrase,digital intelligence,2-word phrase,29,44,66%,Surakshit On-boarding State/UT Police on Digital Intelligence Platform DoThas developed an online secure Digital Intelligence Platform (DIP) under Digital Intelligence Unit (DIU) Project for sharing information related to misuse of telecom ,260185
,phrase,education aicte,2-word phrase,29,47,62%,,
,phrase,employability transformation,2-word phrase,29,45,64%,The signed projects comprise of supporting Pradhan Mantri Skilling and Employability Transformation through Upgraded Industrial Training Institutes Programme ($846 million); Accelerating Affordable and Inclusive Rooftop Solar Systems Develo,280804
,phrase,future ready skills,3-word phrase,29,40,72%,"” Pointing towards the Industry leaders from IBM and NXP while announcing programme to skill 4 lakh youth in kerala in Future Ready Skills, the Minister remarked “I am confident, soon you will come to Trivandrum as Young Malayalis will show",254522
,phrase,growing digital,2-word phrase,29,46,63%,He noted the changes brought about by technologies like AI and BlockChain and noted the importance of cyber security in the growing digital banking system,255189
,phrase,harnessing innovations,2-word phrase,29,47,62%,National Initiative for Developing and Harnessing Innovations (NIDHI): Department of Science and Technology (DST) had launched an umbrella programme called National Initiative for Developing and Harnessing Innovations (NIDHI) in 2016 for nu,257538
,phrase,hub itis,2-word phrase,29,41,71%,"Funded through a tripartite model—₹30,000 crore from the Centre, ₹20,000 crore from States, and ₹10,000 crore from Industry (including CSR)—the scheme will modernize 1,000 ITIs, including 200 Hub ITIs with cutting-edge labs, innovation cent",274651
,phrase,iit bhu,2-word phrase,29,43,67%,"64 6 Setting up of Centre of Excellence by IIT BHU, Varanasi Centre of Excellence 45 36 7 Augmentation of Existing Centre of Excellence by IIT Kharagpur Centre of Excellence 24",257734
,phrase,innovation and efficiency,3-word phrase,29,44,66%,These initiatives exemplify innovation and efficiency in leveraging technology for improved governance practices,253859
,phrase,into real world,3-word phrase,29,45,64%,,
,phrase,kosh,1-word phrase,29,41,71%,"Among the highlights was the launch of Kosh Shree, an encyclopaedic Sanskrit dictionary and article authoring tool powered by a crowdsourcing framework",264052
,phrase,leaders underscored,2-word phrase,29,41,71%,"The leaders underscored the importance of a well-functioning and equitable multilateral trading system in fostering global economic prosperity and resilience, and stressed the importance for the 13th WTO Ministerial Conference, taking place",253764
,phrase,power utilities,2-word phrase,29,46,63%,"Union Power Secretary, Union New & Renewable Energy Secretary, Additional Chief Secretaries / Secretaries / Principal Secretaries (Power/ Energy) of States, CMDs of State Power Utilities and officials from Central Public Sector Enterprises ",252531
,phrase,premier academic,2-word phrase,29,44,66%,Ramgopal Rao The Technology Innovation Hubs are housed within premier academic institutes,255615
,phrase,sunrise sectors,2-word phrase,29,48,60%,Medical Devices: Medical devices industry is considered as one of India’s sunrise sectors,254431
,phrase,tech enabled,2-word phrase,29,47,62%,"Integrated Expenditure Monitoring Software (IEMS): A new tech enabled portal to facilitate online filing of Contribution Report, Election Expenditure Statement (Part and Full) and Audited Annual Accounts by the Political Parties has been st",255032
,phrase,transformation through upgraded,3-word phrase,29,45,64%,The signed projects comprise of supporting Pradhan Mantri Skilling and Employability Transformation through Upgraded Industrial Training Institutes Programme ($846 million); Accelerating Affordable and Inclusive Rooftop Solar Systems Develo,280804
,phrase,ceo forum,2-word phrase,28,44,64%,-India CEO Forum,260122
,phrase,contactless,1-word phrase,28,46,61%,"Additionally, they presented hands-on examples to illustrate key concepts, focusing on topics such as the concept of primary colors and electromagnetic induction, including the intriguing aspect of contactless electricity transport",254241
,phrase,corridor development corporation,3-word phrase,28,43,65%,"ndustrial Corridor Development Programme using PM GatiShakti Portal National Industrial Corridor Development Corporation Limited (NICDC) under Department for Promotion of Industry & Internal Trade (DPIIT), Ministry of Commerce & Industry, G",254157
,phrase,cyber space,2-word phrase,28,45,62%,"Further, over 1,15,000 Government officials have successfully completed “Stay Safe in Cyber Space” course on IGOT Karmayogi platform",252032
,phrase,enable real,2-word phrase,28,44,64%,"The hackathon also saw proposals centered on digital transformation, introducing unified documentation systems to streamline processes, ensure compliance, and enable real-time data exchange among stakeholders",264343
,phrase,enable real time,3-word phrase,28,43,65%,Data driven platforms enable real time athlete tracking,291977
,phrase,enhances transparency,2-word phrase,28,46,61%,"Similarly, the ONDC platform is proving to be an innovation that democratizes and enhances transparency in online retail",261396
,phrase,geospatial technologies,2-word phrase,28,45,62%,"The MoU centers around the project ""BhuPRAHARI,"" an ambitious initiative aimed at leveraging ground and space-based geospatial technologies along with Artificial Intelligence to monitor and manage assets under the Mahatma Gandhi National Ru",254842
,phrase,infrastructure digital,2-word phrase,28,46,61%,"Initiative Focus Area Key Details Centres of Excellence IIT-JEE & NEET Preparation 3 Centres established (Bhopal, Maharashtra, Andhra Pradesh); MoU with 2 NGOs for offline coaching Digital Tutoring NEET & IIT-JEE Preparation Digital tutorin",278722
,phrase,itis pm,2-word phrase,28,40,70%,,
,phrase,itis pm setu,3-word phrase,28,40,70%,,
,phrase,maitris,1-word phrase,28,41,68%,"Further, MAITRIs (Multipurpose AI Technicians in Rural India) are being inducted by the Department to deliver Artificial Insemination Services at Farmers doorstep",257339
,phrase,malware,1-word phrase,28,41,68%,"The major cybercrime Modus Operandi reported in India in 2023 were highlighted which are Part Time Job Fraud/Ponzi scheme, illegal Lending Apps, Customer Care Number & Android Malware, Account Takeover/ Impersonation, Sextortion, etc",252032
,phrase,paper based,2-word phrase,28,43,65%,Paper based KYC process has also been discontinued w,263743
,phrase,provides real,2-word phrase,28,41,68%,"It provides real-time information for various sectors such as U rban, P ower, H ydrology, H ealth, E nergy, A griculture, T ransport and T ourism under the ""UPHHEATT"" initiative ( for the cause of welfare )",252409
,phrase,revolutionising,1-word phrase,28,42,67%,"During the seminar on "" PM GatiShakti: Informed Decision-Making for Holistic Development "" , focused discussions on how PM GatiShakti is revolutionising integrated infrastructure development at National and State level, took place",252251
,phrase,technical education aicte,3-word phrase,28,44,64%,,
,phrase,telecom networks,2-word phrase,28,46,61%,"Dr Sai Kiran, MPR, Associate Professor, IIT – Jodhpur stated that “we are thrilled to announce the R&D grant received from the DoT, which will fuel advanced research and development initiatives aimed at revolutionizing network management an",255394
,phrase,banking financial services,3-word phrase,27,41,66%,"Sectoral presentations will be a key highlight, showcasing emerging job trends in Construction, Manufacturing, Banking Financial Services & Insurance, Logistics, Hospitality & Tourism, Healthcare, Apparel & Textile, Automotive, and Electric",266063
,phrase,collaboration with iit,3-word phrase,27,44,61%,"Dark Patterns Buster Hackathon (DPBH-2023), a pioneering initiative, in collaboration with IIT, BHU was successfully concluded by Department of Consumer Affairs on 15 th March 2024",256193
,phrase,decision support systems,3-word phrase,27,40,68%,The Scheme rolls out a decentralized system of soil testing which will help in developing a nationwide soil fertility map on a GIS platform that can easily be integrated with the real time decision support systems being developed,253045
,phrase,driven monitoring,2-word phrase,27,44,61%,"The DigiCoal initiative aims to digitise coal mines by deploying 5G technologies, AI-driven monitoring, GPS tracking for coal transportation, drone surveys, and digital auction platforms to ensure transparency apart from digital twins of co",271270
,phrase,flood forecasting,2-word phrase,27,45,60%,"All flood information were updated in FF Website, Twitter and Facebook Pages of Flood Forecasting of CWC",252049
,phrase,goods sector,2-word phrase,27,44,61%,0 technologies Ministry of Heavy Industries under the Scheme for “Enhancement of Competitiveness in the Indian Capital Goods Sector” has set up 4 Smart Advanced Manufacturing and Rapid Transformation Hub (SAMARTH) Centres namely: Centre for,253200
,phrase,inclusive access,2-word phrase,27,43,63%,"In almost four years of National Education Policy, the education ecosystem in the country has made tremendous progress and implementation of NEP is key to transforming Bharat into a knowledge superpower and enabling equitable and inclusive ",256762
