term,round,channel,primary_parent,all_parents,releases_matched,releases_added_when_introduced,example_context
led by brigadier,1,3-gram,Drishti,Drishti(3),5,5,"ve Director, US INDOPACOM and a 38 member Indian delegation led by Brigadier Rahul Anand of Headquarters Integrated Defence Staff. T"
around people,1,2-gram,Drishti,Drishti(3),3,3,
shekhawat in written,1,3-gram,Drishti,Drishti(3),2,2,Union Minister for Culture and Tourism Shri Gajendra Singh Shekhawat in written replies in Rajya Sabha today ******* M Annadurai
autonomous navigation,1,2-gram,Drishti,Drishti(3),16,2,"s the country, for example the Technology Innovation Hub on Autonomous Navigation Foundation (TiHAN) at IIT Hyderabad has developed the first"
comet,1,1-gram,Drishti,Drishti(3),8,2,"and Centre of Excellence for MSME Enablement of Technology (COMET) at National Institute for MSME (ni-msme), Hyderabad The"
kashmir kerala water,1,3-gram,Drishti,Drishti(3),5,3,& Kashmir Handicrafts and Folk Dances of Jammu & Kashmir Kerala Water Metro & 100% Digital Literacy: Aatmanirbhar Kerala for Aatm
soul cry,1,2-gram,Drishti,Drishti(3),5,3,Ministry of Culture Vande Mataram – The Soul Cry of a Nation Deptt of School Education
culture vande,1,2-gram,Drishti,Drishti(3),5,3,Victory through Jointness Ministry of Culture Vande Mataram – The Soul Cry of a Nation De
mataram the soul,1,3-gram,Drishti,Drishti(3),5,3,
graphics processing,1,2-gram,FutureSkills,IndiaAI(14) | compute(14) | FutureSkills(7) | large language model(4) | language model(4),18,1,"nificantly increase trade in technology products, including Graphics Processing Units (GPUs) and other goods used in data centers, and expa"
governance guidelines,1,2-gram,FutureSkills,IndiaAI(11) | compute(8) | FutureSkills(4),19,1,"Dr. Mansukh Mandaviya Urges NSFs to Follow Good Governance Guidelines, Nation-First Approach in Preparation for LA 2028 Olympics"
mission in march,1,3-gram,FutureSkills,IndiaAI(10) | compute(9) | FutureSkills(5) | large language model(3) | language model(3),12,1,an EDGE and Environmental Technologies Business Development Mission in March 2024 in New Delhi. The trade mission brought 12 U.S. compan
graphics processing units,1,3-gram,FutureSkills,IndiaAI(10) | compute(9) | FutureSkills(4),11,1,"nificantly increase trade in technology products, including Graphics Processing Units (GPUs) and other goods used in data centers, and expand joi"
safe and trusted,1,3-gram,compute,IndiaAI(28) | compute(25),48,3,"rd, it is crucial to ensure that the internet should remain safe and trusted for all digital nagriks. Our government firmly believes in"
bolster india’s global,1,3-gram,IndiaAI,IndiaAI(9),10,1,"rengthen the negotiation skills of government officials and bolster India’s global trade engagement. Commerce Secretary, Shri Sunil B"
established in tier,1,3-gram,FutureSkills,IndiaAI(9) | FutureSkills(6) | compute(6) | data science(5),10,1,n contribute meaningfully to the economy. NIDHI-iTBIs are established in Tier 2 & Tier 3 cities specially in regions which do not have th
abhishek singh additional,1,3-gram,IndiaAI,IndiaAI(24),42,3,
social good,1,2-gram,compute,IndiaAI(24) | compute(22),49,3,These inputs highlight the power of collective efforts for social good. I invite more people to share their ideas for the episode.
summit in february,1,3-gram,FutureSkills,IndiaAI(8) | FutureSkills(4),17,1,"ssionals in a global level world audio visual entertainment Summit in February. To promote VFX ecosystem in India, the Ministry of Informa"
processing units gpus,1,3-gram,compute,IndiaAI(8) | compute(8),9,1,
airawat,1,1-gram,compute,IndiaAI(7) | compute(7),14,1,"Vehicle (Bajrang), Vehicle Mounted Infantry Mortar System (Airawat), Quick Reaction Force Vehicles (Nandighosh & Tripurantak)"
centric challenges,1,2-gram,IndiaAI,IndiaAI(7),9,1,"democratize the use of technology. It aims to address India centric challenges, create economic and employment opportunities for all India"
democratizing technology,1,2-gram,compute,IndiaAI(7) | compute(6),14,1,unch of RailOne app reaffirms Bhartiya Rail’s commitment to democratizing technology and delivering world-class mobility to every passenger.
itis and polytechnics,1,3-gram,FutureSkills,IndiaAI(7) | data science(6) | compute(6) | FutureSkills(5) | big data(4),8,1,"stitutional partnerships with training institutions such as ITIs and polytechnics, and facilitate global employer engagement to improve inter"
development deployment,1,2-gram,IndiaAI,IndiaAI(13),20,2,
ethical and responsible,1,3-gram,IndiaAI,IndiaAI(18),31,3,", WAITRO, ISTIC-UNESCO International Science– Framework for Ethical and Responsible Governance, West Asia North Africa Institute Jorden, UN Tec"
combating misinformation,1,2-gram,IndiaAI,IndiaAI(6),10,1,acilities as part of its enhanced passenger experience. Combating Misinformation and Ensuring Transparency Indian Railways is operating
astr,1,1-gram,big data,big data(9),21,1,"cted after failing reverification. Further, DoT through its ASTR tool detects mobile connections that were acquired through"
bda,1,1-gram,big data,big data(8),9,1,ne launch were key members of the Bharat Drone Association (BDA). The launch also witnessed a dynamic live demonstration of
dgt under msde,1,3-gram,big data,big data(6),10,1,"for India’s youth. The Flexi-MoU Scheme, implemented by DGT under MSDE, provides industries the flexibility to design customized t"
opportunities and entrepreneurship,1,3-gram,big data,big data(11),18,2,"nt Federation (TRIFED) to facilitate and promote livelihood opportunities and entrepreneurship in the tribal population. So far, TRIFED has sanctioned 410"
azure,1,1-gram,big data,big data(5),9,1,24 TORRENT SOLARGEN LIMITED 15 AZURE POWER PRIVATE LTD 25 GREEN INFRA 16
digital skill training,1,3-gram,big data,big data(5),9,1,"ese guidelines, meticulously tailored for both physical and digital skill training infrastructure, stand as a beacon of inclusivity for indivi"
aipa,1,1-gram,big data,big data(5),7,1,"d Apex Committee for Implementation of the Paris Agreement (AIPA) oversee the implementation of domestic climate actions, wi"
msde has partnered,1,3-gram,big data,big data(5),11,1,
like fundamentals,1,2-gram,big data,big data(5),6,1,"at the grassroots level. The toolkit covers crucial topics like fundamentals of banking, concepts on financial statements, working capit"
strategy to create,1,3-gram,big data,big data(5),6,1,"t utilizes the Information, Education & Communication (IEC) strategy to create awareness through creative content fit for dissemination on"
trainees in industrial,1,3-gram,big data,big data(5),6,1,150 hours of On the Job Training (OJT) or Group Project for trainees in Industrial Training Institutes (ITIs) under the Craftsmen Training Sch
redhat,1,1-gram,big data,big data(5),12,1,b servers and load balancer on latest operating system i.e. RedHat 9 2. Software and Platform Upgrades • Framew
academy for providing,1,3-gram,big data,big data(5),12,1,lice Academies. A Special Tactics Wing (STW) created in the Academy for providing training to police personnel of various States and Cent
entrepreneurship landscape,1,2-gram,big data,big data(5),6,1,"ongoing efforts to strengthen the country’s innovation and entrepreneurship landscape, The Atal Innovation Mission (AIM), NITI Aayog, today forma"
cisco,1,1-gram,big data,big data(12),59,3,"e and supported by FRSN, a collaboration between Accenture, Cisco, J.P. Morgan, and SAP. The initiative aims to enhance the q"
computational biology,1,2-gram,big data,big data(4),9,1,"ular Biology and Biochemistry, Systematics as well as Plant Computational Biology, and their success will encourage several more youngsters."
nasscom’s,1,1-gram,FutureSkills,FutureSkills(5) | big data(4),6,1,urther said that the Prime Minister’s address during one of Nasscom’s events and his demand for a cloud godown in India motivated
nyaay,1,1-gram,FutureSkills,big data(4) | FutureSkills(4),6,1,"its complete implementation. He said that today e-Sakshya, Nyaay Setu, Nyaay Shruti and e-Summon apps have been launched. He"
manner the programme,1,3-gram,FutureSkills,big data(4) | FutureSkills(4),6,1,
failing reverification,1,2-gram,big data,big data(4),5,1,"1.44 crore mobile connections have been disconnected after failing reverification. Further, DoT through its ASTR tool detects mobile connecti"
data cloud,1,2-gram,big data,big data(4),7,1,on a pilot project for setting up of Philippines’ Sovereign Data Cloud Infrastructure; 2) Invitation extended to Philippines
statistics and related,1,3-gram,big data,big data(4),8,1,
candidates have registered,1,3-gram,FutureSkills,big data(4) | FutureSkills(4),5,1,"ner and ICT Academy as the Skilling Partner. A total of 334 candidates have registered so far, including 3 international participants. Objecti"
verified credentials,1,2-gram,big data,big data(4),6,1,has launched a new Aadhaar app which facilitates sharing of verified credentials by Aadhaar number holder with the Offline Verification Seek
prof ganesh,1,2-gram,large language model,large language model(5) | language model(5),7,1,
mandi iit,1,2-gram,large language model,large language model(5) | language model(5),7,1,
document vision,1,2-gram,large language model,large language model(5) | language model(5),6,1,
model initiative,1,2-gram,large language model,large language model(5) | language model(5),7,1,"egions to be safe, seen and empowered. We look forward to a model initiative that can be replicated and scaled up with like-minded partn"
text and speech,1,3-gram,large language model,large language model(4) | language model(4),10,1,"e on android platform. The project aims to enable real-time text and speech translation between Hindi, English, and multiple tribal lan"
consortium led,1,2-gram,large language model,large language model(4) | language model(4),5,1,
bharat data,1,2-gram,large language model,large language model(4) | language model(4),6,1,"n be accessed at the following link under ""Know Your Swachh Bharat Data"" through the SBM(G) dashboard: Sanitation is a St"
models tailored,1,2-gram,large language model,large language model(4) | language model(4),16,1,he Scheme to pioneer transformative public service delivery models tailored to local needs. ***** NKR/PSM
sovereign capability,1,2-gram,large language model,compute(6) | large language model(4) | language model(4),13,1,"asised that a technologically advanced nation must maintain sovereign capability over its geodetic reference frames, gravity models and posi"
adi vaani,1,2-gram,large language model,large language model(3) | language model(3) | language translation(3),21,1,"Ministry of Tribal Affairs has launched the beta version of Adi Vaani mobile application on 1 st September, 2025. The beta versio"
training data,1,2-gram,large language model,large language model(3) | language model(3),13,1,ted through Skill India Digital Hub (SIDH) portal where the training data is maintainedand the progress is monitored regularly. T
legal domain,1,2-gram,large language model,large language model(3) | language model(3),8,1,"the use of simple, lucid, and citizen-friendly Hindi in the legal domain. He elucidated the importance of Digital India, a dream of"
fakes,1,1-gram,large language model,large language model(3) | language model(3),15,1,continuously updated regularly to include the latest busted fakes and fresh FAQs. The introduction of the 'Myth vs Reality Re
ensure that technology,1,3-gram,large language model,large language model(3) | language model(3),11,1,entrepreneurship. She urged entrepreneurs and innovators to ensure that technology becomes a tool for social justice and inclusion. The Pr
healthcare education skilling,1,3-gram,large language model,large language model(3) | language model(3),6,1,
india’s million,1,2-gram,language model,language model(4) | large language model(3),1,1,foundations alongside sectoral improvements and prioritises India’s million-plus cities as key economic centres contributing significan
literacy barriers,1,2-gram,large language model,large language model(3) | language model(3),4,1,thereafter. The scheme acknowledges challenges such as literacy barriers and limited reach in remote areas. To address these challen
farmers make,1,2-gram,large language model,large language model(3),8,1,Soil Health Card Scheme has played a vital role in helping farmers make informed choices on crop planning and fertilizer applicatio
ethical inclusive,1,2-gram,large language model,large language model(3),14,1,
iim indore,1,2-gram,large language model,large language model(5),7,2,"Speaking during the conclave, Himanshu Rai - Director of IIM Indore, highlighted that India's startup evolution is entering a c"
hyderabad iit,1,2-gram,large language model,large language model(6),19,3,
telemedicine platforms,1,2-gram,language model,language model(3),8,1,d underserved areas. He encouraged both States to integrate telemedicine platforms more deeply into routine service delivery to ensure uninter
enabled technologies,1,2-gram,language model,language model(3),14,1,"velopment of scientific and industrial instruments with IoT enabled technologies, while transfers by CEERI are in the area of healthcare and"
million informal,1,2-gram,language model,language model(3),9,1,"tal has been another key initiative, enabling more than 300 million informal workers to register and access social security benefits, he"
intelligence and data,1,3-gram,data science,data science(5),24,1,"s enhanced portal will provide stakeholders with actionable intelligence and data-driven insights, enabling more effective decision-making an"
gaining better,1,2-gram,data science,data science(4),1,1,"resolution, community engagement, and peacebuilding, often gaining better access to local populations, particularly women and childre"
use of science,1,3-gram,data science,data science(4),6,1,Possibilities) signifying the positive mantra of depicting use of science and technology in governance with human face. About the
objectives strengthening,1,2-gram,data science,data science(4),6,1,
understanding and use,1,3-gram,data science,data science(4),7,1,"h component have been grouped together to facilitate easier understanding and use. ""EnviStats India 2025: Environment Statistics"" is a ke"
science for societal,1,3-gram,data science,data science(4),6,1,"ed by reiterating the government’s commitment to leveraging science for societal good, calling Kisan Kavach a beacon of hope for India’s agr"
manpower in earth,1,3-gram,data science,data science(4),9,2,nts of Earth System Sciences. Develop skilled and trained manpower in Earth Sciences. The key feature of the PRITHVI scheme is to
society early,1,2-gram,data science,data science(4),5,1,
network frsn,1,2-gram,data science,data science(4),8,1,
initiatives under corporate,1,3-gram,data science,data science(4),7,1,"mpanies such as CIL, NTPC, DVC are undertaking a variety of initiatives under Corporate Social Responsibility (CSR) programs focusing on skill-buil"
frsn,1,1-gram,data science,data science(4),8,1,"The MSDE’s partner, Future Right Skills Network (FRSN) has drafted the “Trainer Development Strategy for the Skil"
edunet foundation,1,2-gram,data science,data science(4),7,1,"ergy and e-mobility. This initiative will be implemented by Edunet Foundation, training partner of Shell, across select Industrial Traini"
equipping learners,1,2-gram,FutureSkills,data science(4) | FutureSkills(4),7,1,"infrastructure, transportation, and geotechnical sectors by equipping learners with industry-relevant knowledge and practical skills. The"
skills network,1,2-gram,data science,data science(4),8,1,"market. The MSDE’s partner, Future Right Skills Network (FRSN) has drafted the “Trainer Development Strategy for th"
edunet,1,1-gram,data science,data science(4),7,1,"ergy and e-mobility. This initiative will be implemented by Edunet Foundation, training partner of Shell, across select Indust"
future right skills,1,3-gram,data science,data science(4),8,1,"n the future market. The MSDE’s partner, Future Right Skills Network (FRSN) has drafted the “Trainer Development Strateg"
relevant skills further,1,3-gram,data science,data science(4),6,1,
offering courses,1,2-gram,FutureSkills,FutureSkills(5) | data science(4),8,1,"other central, state and private institutions/Universities offering courses on Food Technology. This information was given by the M"
developing standardised,1,2-gram,data science,data science(4),5,1,"a pragmatic roadmap toward unlocking international capital: developing standardised, globally benchmarked project preparation processes; recomm"
right skills network,1,3-gram,data science,data science(4),8,1,"uture market. The MSDE’s partner, Future Right Skills Network (FRSN) has drafted the “Trainer Development Strategy for th"
foundational skills,1,2-gram,data science,data science(4),10,2,"vyangjans on essential employability skills. By focusing on foundational skills like digital financial literacy, communication, career mana"
skills network frsn,1,3-gram,data science,data science(4),8,1,
technologies to predict,1,3-gram,data science,data science(4),5,1,"and dune nourishment,” said Ms. Oka. “It also uses advanced technologies to predict climate change impacts, like sea-level rise and extreme wea"
ravindran,1,1-gram,data science,data science(4),11,1,"sh, is under the Command of Deputy Inspector General Sudhir Ravindran. Over the years, Samudra Paheredar has successfully underta"
foundational and applied,1,3-gram,data science,data science(4),10,1,"rine ecosystems, must continue research that addresses both foundational and applied aspects where academia can play a pivotal role. Chief G"
coursework,1,1-gram,data science,data science(4),10,1,"sion process will be completed by 27 th March 2026, and the Coursework will commence from 1 st April 2026. Speaking at the lau"
nielit centres,1,2-gram,data science,data science(4),9,1,"mic and autonomous institutions (IITs, NITs, IIITs, C-DAC & NIELIT Centres) and Technical Universities and supported by C-DAC) Hyderab"
powered meeting,1,2-gram,language translation,language translation(5),6,1,"Industry Leaders to Drive “Yoga Park” Campaign In a high-powered meeting chaired by Shri Prataprao Jadhav, the Union Minister of Sta"
details baggage,1,2-gram,language translation,language translation(4),5,4,
language access,1,2-gram,language translation,language translation(4),8,1,"Information and Communication ecosystem, and expanding Sign Language Access through interpreter training and better media support."
linguistic backgrounds,1,2-gram,language translation,language translation(6),16,2,"onomic background. Candidates from smaller towns and varied linguistic backgrounds are now securing top ranks, reflecting a more inclusive and"
language using,1,2-gram,language translation,language translation(3),5,2,
real time text,1,3-gram,language translation,language translation(3),9,1,
time text,1,2-gram,language translation,language translation(3),9,1,"ilable on android platform. The project aims to enable real-time text and speech translation between Hindi, English, and multiple"
innovation references,1,2-gram,language translation,language translation(3),8,1,
bridging linguistic,1,2-gram,language translation,language translation(3),5,1,"inclusivity. Through UA Day, we reinforce our commitment to bridging linguistic divides and ensuring every voice is heard in the digital sp"
impart foundational,1,2-gram,FutureSkills,FutureSkills(5),6,1,"blended approaches. The scheme is based on volunteerism to impart foundational literacy and numeracy. 9 States/ UTs (Ladakh, Mizoram, Trip"
strategic programs,1,2-gram,FutureSkills,FutureSkills(5),6,1,"e Economic Empowerment Session highlighted the government's strategic programs to uplift marginalized sections of society, such as Schedul"
policy expert,1,2-gram,FutureSkills,compute(5) | FutureSkills(4),9,1,"ounder and Advocate, Sarvada Legal, Shri Atul Sharma; trade policy expert, Shri Pranav Kumar; as well as senior officials from the De"
courses digital,1,2-gram,FutureSkills,FutureSkills(4),3,1,
eight thematic areas,1,3-gram,FutureSkills,FutureSkills(4),7,1,"y Policy to save precious lives. The seminar focused on eight thematic areas, which will provide action plan for road safety. Panel disc"
world’s largest startup,1,3-gram,FutureSkills,FutureSkills(4),9,1,"ore information, visit . About T-Hub T-Hub is the world’s largest startup hub, supporting founders from ideation to scale through pro"
undergraduate masters,1,2-gram,FutureSkills,FutureSkills(4),5,1,
collaboration providing,1,2-gram,FutureSkills,FutureSkills(4),5,1,
computing ecosystem,1,2-gram,FutureSkills,FutureSkills(4),6,1,PARLIAMENT QUESTION: DEVELOPMENT OF COUNTRY’S QUANTUM COMPUTING ECOSYSTEM The following developments have been made under National
providing startup,1,2-gram,FutureSkills,FutureSkills(4),5,1,"broader hydrogen sector. He emphasised that in addition to providing startup funding, there is also a strong need to build robust mentor"
capabilities attracting,1,2-gram,FutureSkills,FutureSkills(4),5,1,
talent enabling,1,2-gram,FutureSkills,FutureSkills(4),5,1,
hindi kannada malayalam,1,3-gram,FutureSkills,FutureSkills(3),9,1,
bharat antariksh,1,2-gram,robot,robot(4),8,3,"t crewed Gaganyaan mission.2035: India’s own space station, Bharat Antariksh Station. 2040: First Indian astronaut to land on the moon."
gaganyaan mission india’s,1,3-gram,robot,robot(4),4,1,
crewed gaganyaan mission,1,3-gram,robot,robot(3),4,3,"astronaut-like tasks for the Gaganyaan mission.2026: First crewed Gaganyaan mission.2035: India’s own space station, Bharat Antariksh Station."
mission first,1,2-gram,robot,robot(3),1,1,"mining company of Chile, in New Delhi early today. In a mission first-of-its-kind in India, experts from the Chilean Copper major"
crewed gaganyaan,1,2-gram,robot,robot(3),4,3,"astronaut-like tasks for the Gaganyaan mission.2026: First crewed Gaganyaan mission.2035: India’s own space station, Bharat Antariksh S"
first crewed gaganyaan,1,3-gram,robot,robot(3),4,3,"ertake astronaut-like tasks for the Gaganyaan mission.2026: First crewed Gaganyaan mission.2035: India’s own space station, Bharat Antariksh S"
vyommitra,1,1-gram,robot,robot(4),6,5,"Woman Robot Astronaut ""Vyommitra"" will fly into Space ahead of ISRO's ambitious “Gaganyaan"""
first indian astronaut,1,3-gram,robot,robot(3),8,5,"India’s own space station, Bharat Antariksh Station. 2040: First Indian astronaut to land on the moon. Dr. Jitendra Singh appreciated the"
first crewed,1,2-gram,robot,robot(3),7,6,"ertake astronaut-like tasks for the Gaganyaan mission.2026: First crewed Gaganyaan mission.2035: India’s own space station, Bharat A"
india’s own space,1,3-gram,robot,robot(3),7,6,
real time alerts,1,3-gram,robot,robot(3),20,6,
time alerts,1,2-gram,robot,robot(3),20,6,"ras, and LiDAR for precise data collection, along with real-time alerts via SMS and email for immediate attention to critical areas"
mobile communication,1,2-gram,robot,robot(3),12,7,"de 26305, ‘Manufacture of pagers, cellular phones and other mobile communication equipment’ is given below . NIC code Desc"
docking experiment spadex,1,3-gram,robot,robot(3),8,7,
experiment spadex,1,2-gram,robot,robot(3),8,7,
mission india’s,1,2-gram,robot,robot(4),21,9,
space docking experiment,1,3-gram,robot,robot(3),12,9,"ining GSAT-20, Landing exercise of reusable launch vehicle, Space docking experiment etc. The science and technology minister also recognize"
docking experiment,1,2-gram,robot,robot(3),12,9,"GSAT-20, Landing exercise of reusable launch vehicle, Space docking experiment etc. The science and technology minister also recognize"
water technology,1,2-gram,robot,robot(3),19,9,commitment to excellence and continuous efforts to advance water technology and resource management. ***** VM
design technology,1,2-gram,robot,robot(3),21,12,"he country Shweta Ratanpura, Bronze Medalist in Graphic Design Technology at WorldSkills Kazan 2019, has been nominated as the new Wo"
hub for skilled,1,3-gram,robot,robot(3),24,13,irms the Government's commitment to making India the global hub for skilled talent and outlines the ambitious strategies under the Skil
first human,1,2-gram,robot,robot(4),29,16,"ISRO's ambitious “Gaganyaan"" mission, which will be India’s first human manned Space Flight carrying Indian Astronauts into Space"
space docking,1,2-gram,robot,robot(3),20,15,"ining GSAT-20, Landing exercise of reusable launch vehicle, Space docking experiment etc. The science and technology minister als"
communication system,1,2-gram,robot,robot(4),32,20,"eker, Launcher, Multi-Function Radar and Command, Control & Communication system. The system performance was also validated through"
unleashing,1,1-gram,robot,robot(4),36,18,Industrial Research's Republic Day Tableau highlighted the unleashing of a Purple Revolution ushered through Lavender cultivation
when asked,1,2-gram,robot,robot(3),30,17,m due its favorable conditions. Dr. Jitendra Singh when asked about the progress of Jammu Kashmir in the last decade said
whole of science,1,3-gram,robot,robot(3),24,16,New Year satellite XpoSAT exemplifies 'whole of science' joint effort by more than one institution: Dr Jitendra Sin
space capabilities,1,2-gram,robot,robot(3),26,16,The Gaganyaan project envisages demonstration of human space capabilities by launching a crew of astronauts into an orbit of 400 Kilo
spadex,1,1-gram,robot,robot(3),28,19,"ace. The project has been named ""Space Docking Experiment"" (SpaDeX), he said. The whole nation looks forward with bated br"
worldskills,1,1-gram,robot,robot(3),29,20,"lp of the best industry trainers, will get prepared for the WorldSkills Competition scheduled to take place in Lyon, France in Sept"
launchpad,1,1-gram,robot,robot(3),51,21,oday is a land of hope & possibilities; our Amrit Kaal is a launchpad for Viksit Bharat@2047 -Vice-President The Vice-President
robotics,1,1-gram,robot,robot(7),374,50,"nologies, hands-on training on Drones, interactive talks on Robotics, and much more. This isn't just an event; it's a promise of"
stick,1,1-gram,robot,robot(3),32,21,"ate Major Dhyanchand, whose magical prowess with the hockey stick is unforgettable. Countless revolutionaries like Bhagat Sin"
gaganyaan mission,1,2-gram,robot,robot(6),64,48,
solutions to address,1,3-gram,robot,robot(3),44,22,ipulated time frame. He highlighted the need for innovative solutions to address emerging challenges and outlined a commitment to developing
sector skill councils,1,3-gram,robot,robot(3),75,23,"CSIR-Human Resource Development Centre signs MoUs with four Sector Skill Councils The CSIR-Human Resource Development Centre (CSIR-HRDC), G"
according to him,1,3-gram,robot,robot(3),40,25,"economy and promote Green Growth”, said Dr. Jitendra Singh. According to him, the Ministry is working with a synergy and integrative app"
crewed,1,1-gram,robot,robot(4),40,35,"from Port Louis, Mauritius on 30 Mar 24. The sailing vessel crewed by the resilient duo of Lt Cdr Roopa A and Lt Cdr Dilna K w"
image generation,1,2-gram,ChatGPT,ChatGPT(5),6,1,ed Land Mapping with Accurate and Efficient Ortho Rectified Image Generation using aerial photography for mapping urban land parcels and
computing facility,1,2-gram,ChatGPT,ChatGPT(3),8,2,been allocated / utilized to develop and provide the super-computing facility for research and other allied areas. This includes funds fo
agriculture weather,1,2-gram,ChatGPT,ChatGPT(3),4,1,
shared how addressing,1,3-gram,ChatGPT,ChatGPT(3),4,1,nts attended the interactive session. Deepika shared how addressing mental health challenges can be empowering and spoke about
how addressing,1,2-gram,ChatGPT,ChatGPT(3),4,1,ended the interactive session. Deepika shared how addressing mental health challenges can be empowering and spoke about
lessons she learned,1,3-gram,ChatGPT,ChatGPT(3),4,1,h challenges can be empowering and spoke about the valuable lessons she learned from her own struggles. Sharing her stress management strat
deepika shared how,1,3-gram,ChatGPT,ChatGPT(3),4,1,60 students attended the interactive session. Deepika shared how addressing mental health challenges can be empowering and s
deepika shared,1,2-gram,ChatGPT,ChatGPT(3),4,1,60 students attended the interactive session. Deepika shared how addressing mental health challenges can be empowering a
how addressing mental,1,3-gram,ChatGPT,ChatGPT(3),4,1,ended the interactive session. Deepika shared how addressing mental health challenges can be empowering and spoke about the val
empowering and spoke,1,3-gram,ChatGPT,ChatGPT(3),4,1,epika shared how addressing mental health challenges can be empowering and spoke about the valuable lessons she learned from her own struggl
model training,1,2-gram,ChatGPT,ChatGPT(3),10,2,"radhan Mantri Kaushal Kendras (PMKKs) have been set up as a model training center, for imparting skill training in Public Private Part"
techno legal,1,2-gram,ChatGPT,compute(12) | ChatGPT(3),40,2,
second episode,1,2-gram,ChatGPT,ChatGPT(3),8,2,"Electronics and Information Technology (MeitY), hosted the second episode of its exclusive LIVE series ‘Ask Our Experts’ on October 2"
facility will soon,1,3-gram,ChatGPT,ChatGPT(3),5,2,nose patients coming to the super-specialty hospital. A new facility will soon be ready for the disposal of biomedical waste from hospital
guruji and radhika,1,3-gram,ChatGPT,ChatGPT(3),5,2,
edelweiss,1,1-gram,ChatGPT,ChatGPT(3),6,2,"India; Mr. Amit Agarwal, President & Head – Private Credit, Edelweiss Alternatives; and Mr. Shantanu Nalavadi, Managing Director,"
nine times,1,2-gram,ChatGPT,ChatGPT(4),8,3,"ony, and rooted progress. He noted how repeating the mantra nine times, or in its multiples like 27, 54, or 108 represents spiritu"
chatbots,1,1-gram,ChatGPT,ChatGPT(4),56,4,"Public Grievance Redress and Monitoring System (CPGRAMS) Chatbots, WhatsApp, and social media platforms (Twitter, Facebook, I"
computing power,1,2-gram,ChatGPT,ChatGPT(3),33,5,advanced classical computer available today. Although huge computing power is useful for solving many day-to-day issues and complex pr
technical guruji,1,2-gram,ChatGPT,ChatGPT(3),7,3,"r of Culture and Tourism, Shri Gajendra Singh Shekhawat and Technical Guruji have highlighted the blend of tradition and technology, cre"
gaurav chaudhary,1,2-gram,ChatGPT,ChatGPT(3),8,3,"kti Khurana, Manu Bhaker, Navdeep Singh, Ankit Baiyanpuria, Gaurav Chaudhary and Janhvi Singh addressed the gathering and shared insight"
deepika padukone,1,2-gram,ChatGPT,ChatGPT(3),7,3,and stress management through discipline. Mental Health: Deepika Padukone will discuss the importance of emotional well-being and sel
padukone,1,1-gram,ChatGPT,ChatGPT(3),7,3,ess management through discipline. Mental Health: Deepika Padukone will discuss the importance of emotional well-being and sel
radhika gupta,1,2-gram,ChatGPT,ChatGPT(3),7,4,"ennai & Puducherry Sportsperson of the Year -Female - Ms. Radhika Gupta, SSSA, RO Kandivali East Sportsperson of the Year – Male"
wellness mastering,1,2-gram,ChatGPT,ChatGPT(3),7,4,
introduced students,1,2-gram,ChatGPT,ChatGPT(3),7,4,"resident – Assessment and Certification, THSC, the workshop introduced students to diverse career opportunities in hospitality and tourism,"
wellness mastering pressure,1,3-gram,ChatGPT,ChatGPT(3),7,4,
academic challenges,1,2-gram,ChatGPT,ChatGPT(3),7,4,"with valuable insights and practical strategies to navigate academic challenges with confidence and a growth mind set. Today, renowned"
addressing mental health,1,3-gram,ChatGPT,ChatGPT(3),12,5,s initiatives being undertaken by the state of Karnataka in addressing mental health concerns. The technical sessions concluded with a detailed
sarvam,1,1-gram,ChatGPT,ChatGPT(3),46,5,system as a whole has to live in peace. It is encapsulated ‘Sarvam Shanti’ . We have dictated our lives over centuries in spit
mastering pressure,1,2-gram,ChatGPT,ChatGPT(3),8,5,"of nutrition lies in what, when, how and why one eats. Mastering Pressure On the topic of Mastering Pressure, the Prime Minister"
link to watch,1,3-gram,ChatGPT,ChatGPT(3),8,5,reserving and showcasing our shared heritage. Click the link to watch the video for speech: - Click the link to watch t
renowned actor,1,2-gram,ChatGPT,ChatGPT(3),8,5,everal steps in this direction. Union Home Minister thanked renowned actor Shri Amitabh Bachchan for his active involvement in acceler
addressing mental,1,2-gram,ChatGPT,ChatGPT(3),13,6,s initiatives being undertaken by the state of Karnataka in addressing mental health concerns. The technical sessions concluded with a de
startups and researchers,1,3-gram,ChatGPT,ChatGPT(3),20,6,
challenges with confidence,1,3-gram,ChatGPT,ChatGPT(3),10,6,"zones, recognize their strengths, and navigate professional challenges with confidence. Dr. Kanika Malik, Senior Principal Scientist, CSIR-NIScPR"
satellite weather,1,2-gram,pest surveillance,pest surveillance(5),7,1,
satellite weather soil,1,3-gram,pest surveillance,pest surveillance(5),7,1,
issues enabling,1,2-gram,pest surveillance,pest surveillance(14),18,3,
pest attacks,1,2-gram,pest surveillance,pest surveillance(17),23,5,"amities such as floods, droughts, cyclones, hailstorms, and pest attacks, as well as localized risks like landslides, cloudbursts, a"
address various challenges,1,3-gram,pest surveillance,pest surveillance(12),17,3,preneurs leveraging technology and innovative approaches to address various challenges and opportunities in the industry. The Department of Fisher
field photographs,1,2-gram,pest surveillance,pest surveillance(12),15,3,a primary goal. Publication link: Fig.1 Field photographs of the rocks sampled for rock varnish studies from NW Himal
